phs,pht,phv,n,count_available
phs000007,pht004815,phv00251717,275,True
phs000007,pht004815,phv00251718,275,True
phs000007,pht005140,phv00254499,2615,True
phs000007,pht005142,phv00255330,140,True
phs000007,pht006007,phv00275055,15,True
phs000007,pht006008,phv00275389,1,True
phs000007,pht000747,phv00072500,2909,True
phs000007,pht000747,phv00072501,2906,True
phs000007,pht000074,phv00021307,3998,True
phs000007,pht000074,phv00021308,3995,True
phs000007,pht000395,phv00055303,963,True
phs000007,pht000397,phv00056802,790,True
phs000007,pht000016,phv00002416,2681,True
phs000007,pht000146,phv00023207,3254,True
phs000007,pht000146,phv00177942,7536,True
phs000007,pht000017,phv00002654,2419,True
phs000007,pht000026,phv00006322,557,True
phs000007,pht000027,phv00006662,489,True
phs000007,pht000028,phv00006665,324,True
phs000007,pht000029,phv00007526,215,True
phs000007,pht000074,phv00021396,4018,True
phs000007,pht000692,phv00070734,137,True
phs000007,pht000742,phv00071894,2846,True
phs000007,pht001039,phv00080753,1097,True
phs000007,pht001039,phv00177930,15089,True
phs000007,pht001039,phv00177938,8169,True
phs000007,pht001039,phv00177940,7541,True
phs000007,pht001045,phv00081024,1019,True
phs000007,pht002234,phv00161767,1048,True
phs000007,pht002234,phv00177938,8169,True
phs000007,pht002566,phv00166800,962,True
phs000007,pht002566,phv00177938,8169,True
phs000007,pht002889,phv00172175,3734,True
phs000007,pht002895,phv00172326,432,True
phs000007,pht002895,phv00177938,8169,True
phs000007,pht004802,phv00227058,2508,True
phs000007,pht005143,phv00177930,15089,True
phs000007,pht005143,phv00255344,500,True
phs000007,pht006010,phv00177932,12547,True
phs000007,pht006010,phv00275408,382,True
